Entry No.,Size,Entry Date,Category,Marketing Group,Manufacturing Co.,SALE QTY,Current Stock(Unit1),Qty(Unit1),Vendor,Free Qty(Unit1),Amount,Product MRP,Product Purchase Rate
B865,  free,06/03/2024,TOP<,GIRLS WEAR,Laxhmi Hosiery House,0.0,2.0,2.0,Laxhmi Hosiery House,0.0,0.0,0.0,0.0
B865,  free,06/03/2024,TOP<,GIRLS WEAR,Laxhmi Hosiery House,2.0,0.0,2.0,Laxhmi Hosiery House,0.0,0.0,0.0,0.0
B866,  free,06/03/2024,Top-Crop <,GIRLS WEAR,Laxhmi Hosiery House,1.0,1.0,2.0,Laxhmi Hosiery House,0.0,0.0,0.0,0.0
B865,  free,06/03/2024,TOP<,GIRLS WEAR,Laxhmi Hosiery House,2.0,0.0,2.0,Laxhmi Hosiery House,0.0,0.0,0.0,0.0
B865,  free,06/03/2024,TOP<,GIRLS WEAR,Laxhmi Hosiery House,3.0,1.0,4.0,Laxhmi Hosiery House,0.0,0.0,0.0,0.0
B866,  free,06/03/2024,TOP<,GIRLS WEAR,Laxhmi Hosiery House,2.0,1.0,3.0,Laxhmi Hosiery House,0.0,0.0,0.0,0.0
B865,  free,06/03/2024,TOP<,GIRLS WEAR,Laxhmi Hosiery House,3.0,0.0,3.0,Laxhmi Hosiery House,0.0,0.0,0.0,0.0
B868,  free,06/03/2024,TOP<,GIRLS WEAR,Laxhmi Hosiery House,2.0,0.0,2.0,Laxhmi Hosiery House,0.0,0.0,0.0,0.0
B793,  0,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  1,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  2,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  3,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  4,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  5,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  6,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  7,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  8,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  9,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  10,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  0,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  1,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  2,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  3,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  5,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  6,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  7,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  8,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  9,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B793,  10,17/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B806,  4,26/01/2024,Suit-Full+Jacket <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  0,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  1,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  2,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  3,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  4,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  5,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  6,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  7,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  8,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  9,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  10,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  12,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B792,  14,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  0,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  1,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  2,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  3,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  4,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  5,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  6,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  7,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  8,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  9,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  10,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  12,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B795,  14,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  0,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  1,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  2,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  3,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  4,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  5,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  6,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  7,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  8,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  9,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  10,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  12,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,0.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B796,  14,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,1.0,1.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  0,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,1.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  1,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,2.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  2,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,1.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  3,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,2.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  4,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,2.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  5,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,1.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  6,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,2.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  7,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,1.0,1.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  8,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,2.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  9,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,2.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
B791,  10,17/01/2024,Coat Suit <>,BABA KIDS WEAR,UNIDENTIFIED,0.0,2.0,2.0,UNIDENTIFIED,0.0,0.0,0.0,0.0
