NameToDisplay,Size,Brand,Marketing Group,Category,Stock(Unit1),SaleRate,MRP,Sale Rate Value,'Product',Stock(Unit2),Stock,StockUnit,Unit1,Unit2,Stock Value,IsVirtual,Status,ProdConv1,SellLoose,StockLocation,Rate
12gm C ,38,12gm,GENTS WEAR,JEANS<,1,995,1195,995,C,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
16ps-Gaun 500021,free,16ps-gaun,GIRLS WEAR,Gown-16ps,1,3150,3150,3150,500021,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1st Casual 6368 32/34/36/38/40,34,1st casual,BABA KIDS WEAR,JEANS,1,755,755,755,6368,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep track capri ,L,1ststep,GENTS WEAR,Capri-Hosiery <,6,295,507,1770,track capri,6,6,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep track capri ,XXL,1ststep,GENTS WEAR,Capri-Hosiery <,5,305,517,1525,track capri,5,5,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep track capri ,4XL,1ststep,GENTS WEAR,Capri-Hosiery <,2,335,560,670,track capri,2,2,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep track capri ,XXL,1ststep,GENTS WEAR,Capri-Hosiery <,3,310,517,930,track capri,3,3,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep track capri ,M,1ststep,GENTS WEAR,Capri-Hosiery <,1,295,507,295,track capri,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep track capri ,XL,1ststep,GENTS WEAR,Capri-Hosiery <,3,295,517,885,track capri,3,3,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep track capri ,3XL,1ststep,GENTS WEAR,Capri-Hosiery <,1,320,534,320,track capri,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep track capri ,M,1ststep,GENTS WEAR,Capri-Hosiery <,4,295,507,1180,track capri,4,4,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep TrackPant ,46,1ststep,GENTS WEAR,Lower-Hosiery <,5,390,390,1950,TrackPant,5,5,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep TrackPant ,40,1ststep,GENTS WEAR,Lower-Hosiery <,2,350,360,700,TrackPant,2,2,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep TrackPant ,42,1ststep,GENTS WEAR,Lower-Hosiery <,1,350,370,350,TrackPant,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep TrackPant ,38,1ststep,GENTS WEAR,Lower-Hosiery <,1,350,350,350,TrackPant,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
1stStep TrackPant ,44,1ststep,GENTS WEAR,Lower-Hosiery <,1,380,380,380,TrackPant,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
2Best Buddy 1145 30/32/34/36/38,32,2best buddy,BABA KIDS WEAR,Shirt-Full<,1,620,620,620,1145,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
2Best Buddy 1147 30/32/34/36/38,34,2best buddy,BABA KIDS WEAR,Shirt-Full<,1,550,550,550,1147,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
4Ever 7220 36/38,38,4ever,BABA KIDS WEAR,Shirt-Half <,1,525,525,525,7220,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
5River 551,free,5river,GIRLS WOOLEN,Cardigan<,1,430,430,430,551,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
5River plain,free,5river,GIRLS WOOLEN,Leggy<,1,275,275,275,plain,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
7Eleven 111(CH). ,32,7eleven,GIRLS WEAR,Capri-Denim <,1,405,580,405,111(CH).,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
7Eleven 514(CH) ,32,7eleven,GIRLS KIDS WEAR,Shorts-Denim <,1,440,585,440,514(CH),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
7Eleven 514(CH) ,40,7eleven,GIRLS KIDS WEAR,Shorts-Denim <,1,520,585,520,514(CH),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
7Square 1273(SA) 24/26/28/30/32/34,24,7square,BABA KIDS WEAR,T-Shirt-Half <,1,400,400,400,1273(SA),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
7Square 1372(SA) 24/26/28,24,7square,BABA KIDS WEAR,T-Shirt-Half <,1,230,230,230,1372(SA),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
7Square 2401 18/20/22/24/26/28/30/32/34,26,7square,BABA KIDS WEAR,T-Shirt-Half <,1,415,415,415,2401,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
7Square Dollar-3 M/L/XL,XL,7square,GENTS WEAR,T-Shirt-Half <,1,335,335,335,Dollar-3,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
7th 2302(SA) ,32,7th,Baba Woolen Wear,Suede P/O<,1,415,415,415,2302(SA),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
999 5004(dc) ,40,999,GENTS WOOLEN ,SuedeP/O<>,1,1080,1080,1080,5004(dc),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
A Zone 2060(5) ,10,A zone,BABA KIDS WEAR,Sherwani,1,1525,1525,1525,2060(5),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
A Zone 2118(5) ,4,A zone,BABA KIDS WEAR,Sherwani,1,1425,1425,1425,2118(5),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
A Zone 2134(5) ,12,A zone,BABA KIDS WEAR,IndoWestern<,1,1560,1560,1560,2134(5),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
A Zone 2134(5) ,4,A zone,BABA KIDS WEAR,IndoWestern<,1,1240,1240,1240,2134(5),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
A-2 DE0(lax) ,4XL,A-2,GIRLS WEAR,TOP<,1,685,685,685,DE0(lax),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aanchal H-88 ,18,Aanchal,GIRLS KIDS WEAR,Frock<>,2,1065,1065,2130,H-88,2,2,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aanchal H-88 ,16,Aanchal,GIRLS KIDS WEAR,Frock<>,2,1035,1035,2070,H-88,2,2,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aanchal H-88 ,22,Aanchal,GIRLS KIDS WEAR,Frock<>,1,1125,1125,1125,H-88,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aanchal H-88 ,20,Aanchal,GIRLS KIDS WEAR,Frock<>,1,1095,1095,1095,H-88,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aanchal H-88 ,26,Aanchal,GIRLS KIDS WEAR,Frock<>,1,1185,1185,1185,H-88,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aanchal H-88 ,24,Aanchal,GIRLS KIDS WEAR,Frock<>,2,1155,1155,2310,H-88,2,2,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aanchal H-93 ,24,Aanchal,GIRLS KIDS WEAR,Frock<>,1,1140,1140,1140,H-93,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aanchal H-93 ,18,Aanchal,GIRLS KIDS WEAR,Frock<>,1,1050,1050,1050,H-93,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aanchal H-93 ,20,Aanchal,GIRLS KIDS WEAR,Frock<>,1,1080,1080,1080,H-93,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarambh 1154 ,10,Aarambh,BABA KIDS WEAR,Pathani <,1,975,1075,975,1154,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarambh 1154 ,1,Aarambh,BABA KIDS WEAR,Pathani <,1,705,805,705,1154,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarambh 1154 ,9,Aarambh,BABA KIDS WEAR,Pathani <,1,945,1045,945,1154,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarambh 1154 ,8,Aarambh,BABA KIDS WEAR,Pathani <,1,915,1015,915,1154,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarambh 190 ,13,Aarambh,BABA KIDS WEAR,Pathani <,1,1125,1295,1125,190,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarambh 204 ,15,Aarambh,BABA KIDS WEAR,Pathani <,1,1715,1915,1715,204,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarambh 204 ,13,Aarambh,BABA KIDS WEAR,Pathani <,1,1615,1815,1615,204,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 1718 ,30,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2125,2125,2125,1718,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 1718 ,28,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2015,2015,2015,1718,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 1718 ,26,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1965,1965,1965,1718,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3291 ,36,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2350,2620,2350,3291,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3291 ,28,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1950,2170,1950,3291,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3291 ,38,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2450,2740,2450,3291,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3291 ,30,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2050,2280,2050,3291,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3291 ,34,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2250,2500,2250,3291,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3291 ,24,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1750,1950,1750,3291,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3291 ,26,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1850,2060,1850,3291,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3291 ,32,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2150,2390,2150,3291,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3376 ,32,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1960,2180,1960,3376,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3376 ,38,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2260,2520,2260,3376,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3376 ,28,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1760,1960,1760,3376,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3376 ,34,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2060,2290,2060,3376,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3376 ,36,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2160,2400,2160,3376,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3376 ,24,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1560,1740,1560,3376,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3376 ,26,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1660,1850,1660,3376,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika 3376 ,30,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1860,2070,1860,3376,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE007 ,22,Aarika,GIRLS KIDS WEAR,Lancha<>,1,2010,2230,2010,AE007,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE007 ,32,Aarika,GIRLS KIDS WEAR,Lancha<>,1,2430,2700,2430,AE007,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE007 ,34,Aarika,GIRLS KIDS WEAR,Lancha<>,1,2530,2820,2530,AE007,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE007 ,26,Aarika,GIRLS KIDS WEAR,Lancha<>,1,2110,2330,2110,AE007,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE007 ,24,Aarika,GIRLS KIDS WEAR,Lancha<>,1,2060,2280,2060,AE007,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE007 ,20,Aarika,GIRLS KIDS WEAR,Lancha<>,1,1960,2180,1960,AE007,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE007 ,30,Aarika,GIRLS KIDS WEAR,Lancha<>,1,2330,2580,2330,AE007,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE007 ,36,Aarika,GIRLS KIDS WEAR,Lancha<>,1,2630,2950,2630,AE007,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE007 ,28,Aarika,GIRLS KIDS WEAR,Lancha<>,1,2230,2470,2230,AE007,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE007 ,38,Aarika,GIRLS KIDS WEAR,Lancha<>,1,2730,3070,2730,AE007,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE012 ,26,Aarika,GIRLS KIDS WEAR,Coord set <>,1,1080,1200,1080,AE012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE012 ,30,Aarika,GIRLS KIDS WEAR,Coord set <>,1,1160,1310,1160,AE012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE012 ,28,Aarika,GIRLS KIDS WEAR,Coord set <>,1,1120,1260,1120,AE012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE012 ,32,Aarika,GIRLS KIDS WEAR,Coord set <>,1,1200,1360,1200,AE012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE012 ,38,Aarika,GIRLS KIDS WEAR,Coord set <>,1,1320,1490,1320,AE012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE012 ,34,Aarika,GIRLS KIDS WEAR,Coord set <>,1,1240,1400,1240,AE012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE012 ,36,Aarika,GIRLS KIDS WEAR,Coord set <>,1,1280,1450,1280,AE012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE012 ,24,Aarika,GIRLS KIDS WEAR,Coord set <>,1,1040,1150,1040,AE012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE085 ,38,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1,2005,2330,2005,AE085,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE085 ,34,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1,1805,2010,1805,AE085,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE085 ,30,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1,1605,1780,1605,AE085,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE085 ,28,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1,1505,1670,1505,AE085,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE085 ,36,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1,1905,2120,1905,AE085,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE085 ,32,Aarika,GIRLS KIDS WEAR,Plazo-Set<>,1,1705,1890,1705,AE085,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
