Unnamed: 0,Entry No.,Entry Date,Brand,Category,Marketing Group,Size,Manufacturing Co.,Qty(Unit1),Free Qty(Unit1),Amount,MRP
2,S9461,09/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,567.0,665.0
3,S9632,16/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,567.0,665.0
5,S10044,31/03/2024,1+studio,Top-Crop <,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,613.0,715.0
7,S9538,12/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,562.0,665.0
8,S9632,16/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,562.0,665.0
10,S9911,26/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,446.0,570.0
11,S10033,31/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,542.0,570.0
12,S10045,31/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,542.0,570.0
14,S9502,10/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,417.0,595.0
15,S9796,21/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,519.0,595.0
17,S9562,13/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,476.0,565.0
18,S9632,16/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,539.0,565.0
19,S10033,31/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,539.0,565.0
21,S9486,10/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,431.0,640.0
22,S9745,20/03/2024,1+studio,TOP<,GIRLS WEAR,free,Laxhmi Hosiery House,1.0,0.0,525.0,640.0
24,S9021,17/02/2024,12gm,JEANS<,GENTS WEAR,38,UNIDENTIFIED,1.0,0.0,686.0,1195.0
26,S9630,16/03/2024,1ststep,Capri-Hosiery <,GENTS WEAR,3XL,UNIDENTIFIED,1.0,0.0,239.0,534.0
27,S9654,17/03/2024,1ststep,Capri-Hosiery <,GENTS WEAR,XXL,UNIDENTIFIED,1.0,0.0,238.0,517.0
28,S10022,31/03/2024,1ststep,Capri-Hosiery <,GENTS WEAR,XXL,UNIDENTIFIED,1.0,0.0,291.0,517.0
